Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,15000,250000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,7000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2020,Standard,between 1 to 20000,4 Stroke,900,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,10000,124000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2020,Standard,between 200001 to 40000,4 Stroke,25000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,7435,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2017,Standard,between 1 to 20000,4 Stroke,20000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2022,Standard,between 40001 to 60000,4 Stroke,150000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2013,Standard,between 40001 to 60000,4 Stroke,90000,75000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,2900,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2013,Standard,between 1 to 20000,4 Stroke,12786,75000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2018,Standard,between 200001 to 40000,4 Stroke,30000,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2021,Standard,between 1 to 20000,4 Stroke,6745,138000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,1999,Standard,between 40001 to 60000,4 Stroke,99999,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,12000,205000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Karachi,2007,Standard,between 1 to 20000,4 Stroke,400,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,12000,175000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,4500,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
